name,review_source,review_text,review_rating,review_datetime_utc,sentiment,Claims Process,Premium Increase,Customer Service,Policy Terms & Conditions,Claims Decline or Denial,Policy Cancellation & Refunds,Total,datetime_estimate
AIA Australia,Google,"After AIA responded to my earlier one star review with a computer generated response and how they were sorry to hear about my experience etc requesting I forward my details to them so they could look further into my claim, this may have been perceived as a compassionate approach by them in reality though itÕs just a way of creating false hope to the disappointed policy holder on the brink of financial collapse and appeasing the concerns of those parties interested in taking out a policy as the response sent had no relevant email address attached, similar to their response to other dissatisfied customers reviews. When I forwarded my details to them via their website no second response or contact has been made by them. Hollow and meaningless words yet again, good for the shareholders but not for the policy holder.
I say again steer clear of this filth and the financial institutions that engage their services as a third party.",1,8/4/2024 00:33,[Very Negative],1,0,0,0,0,0,1,N
AIA Australia,Google,"Steer clear of this filth.
I signed up for what I believed was an income protection policy. The policy application stated income protection, accident and illness, renewal stated income protection, accident and illness and the claim paperwork clearly stated the same but 3 letters (ADL) AIA carefully slipped into the end of a series of phone discussions regarding my  policy when I applied several years ago allowed them to take my premiums but not honour the policy in a way that only be described as a well worded scam.
I like others never missed a payment and unfortunately after suffering a catastrophic aortic dissection, dying several times, suffering a stroke and being bought back to life, learning how to speak, eat and walk again only to be told that I was not disabled enough for long enough as required by the ADL definition and therefore I was not eligible to make a claim.
Wonder how the workers there sleep at night knowing the words they speak are hollow and meaningless.",1,07/25/2024 10:05:45,[Very Negative],1,0,0,0,0,0,1,N
AIA Australia,Google,"If only a negative star rating was possible, it would be -5stars.  Based on my experience, all I can say is have NOTHING to do with this company. Do not take out a policy with them, if you have a policy- move to another insurer immediately.If you know a family member or friend with a policy with them, advise them to move.   If you have a policy in your Super fund, move it and also ask your super fund to change insurers. They will Delay, then Deny, then Delay further, then recant from their position. They are ruthless, heartless and unconscionable.",1,07/17/2024 10:06:18,[Very Negative],0,0,0,0,1,0,0,N
AIA Australia,Google,"If you are thinking of getting AIA vitality, don't. It's not as well run as Vitality's implementation in other countries. The app is frustrating and the cash back that was promised can be denied for the most ludicrous reasons. Save your money, the discounts are not worth the risk",1,02/14/2024 00:11:21,[Very Negative],0,0,0,0,0,0,0,N
AIA Australia,Google,An absolute disgrace IÕm in stage 5 end kidney failure and it took them 8 years to pay me my tpd and icp money it put in extreme financial hardship caused major problems for me and depression on dialysis and they are rude the women called me while on dialysis and screamed the answer is. NO they arenÕt right at all they are so mean so I am going to fix them up and they know what they did underhanded and underpaid me they arnt getting away with it,1,2/11/2024 13:45,[Very Negative],1,0,0,0,0,0,2,N
AIA Australia,Google,Cancelled my policy within the 30 cooling off period and havenÕt made any claims but was told I wouldnÕt get a full refund for the premiums paid even though they promised this in their quote. Lodged a complaint to AIA. Will see what they say. What a joke!,1,11/27/2023 06:04:19,[Very Negative],1,0,0,0,0,1,1,N
AIA Australia,Google,"I highly recommend AIA, having dealt with this company as a client for over 6 years.I have always  found the company  consistently true to their values and their staff excellent on every level.",5,05/30/2024 03:23:18,[Very Positive],0,0,1,0,0,0,1,N
AIA Australia,Google,AIA Declined my TPD claim eventhough I was up to date with all premium payments.,1,4/1/2024 22:52,[Very Negative],1,0,0,0,1,0,1,N
AIA Australia,Google,"AIA policy premium increases are 3 times higher than my partners equivalent cover with a competitor.
Confused is the best description for AIA!
They sent 3 renewal information notices each with a different amount. I tried to update the policy and a couple of days later got renewal notice with a different amount to what was agreed. Then they debited the amount for the updated policy",1,09/27/2021 05:25:01,[Negative],0,1,0,0,0,0,1,N
AIA Australia,Google,"Really shocking after 2 years vitality membership I still can not log into my account due to password issue. Every email takes min 5 days to respond and issue just like this has been dragging for so long that makes me think if this company AIA is capable of solving other more serious issues or claims?! I will keep updating how I go.
3/07/22 - no response from AIA team
11/07/22 - no phone calls no email from AIA
20/07/22- after escalating to the GM - this issue gets solved 2 days later.",1,07/20/2022 09:51:47,[Very Negative],1,0,0,0,0,0,1,N
